transaction_id,date,customer_id,product_name,quantity,unit_price,total,store_id,category
TXN001,2024-01-15,CUST_442,Vitamin C Serum,2,24.99,49.98,BOOTS_001,Skincare
TXN002,2024/01/15,CUST_887,Mascara Pro,1,14.99,14.99,BOOTS_002,Makeup
TXN003,15-01-2024,CUST_112,,3,8.50,25.5,BOOTS_001,Haircare
TXN004,2024-01-16,CUST_442,Night Cream,1,45.00,45.00,,Skincare
TXN005,2024-01-16,CUST_993,Shampoo 500ml,2,6.99,13.98,BOOTS_003,Haircare
TXN006,2024-01-16,CUST_001,Lipstick Red,1,18.50,18.50,BOOTS_001,Makeup
TXN007,2024-01-17,CUST_774,Sunscreen SPF50,4,12.99,999.99,BOOTS_002,Skincare
TXN008,2024-01-17,,Foundation Matte,1,22.00,22.00,BOOTS_004,Makeup
TXN009,2024-01-17,CUST_556,Body Lotion,3,9.99,29.97,BOOTS_001,Bodycare
TXN010,2024-01-18,CUST_442,Eye Cream,2,38.00,76.00,BOOTS_003,Skincare
TXN011,2024-01-18,CUST_331,Conditioner,1,-5.00,-5.00,BOOTS_002,Haircare
TXN012,2024-01-18,CUST_887,Blusher,2,12.00,24.00,BOOTS_001,Makeup
TXN013,2024-01-19,CUST_119,Toner,1,16.99,16.99,BOOTS_005,Skincare
TXN014,2024-01-19,CUST_442,Hair Mask,2,14.50,29.00,BOOTS_001,Haircare
TXN015,2024-01-20,CUST_667,Perfume 50ml,1,65.00,65.00,BOOTS_003,Fragrance